Name|Note|Misc
"South Glory Cave"|"https://www.nationalparks.nsw.gov.au/things-to-do/show-caves/yarrangobilly-south-glory-cave"|"4.6(131) - Tourist attraction · Yarrangobilly - Open until 4:00 pm"
"Mt Kosciuszko"|""|"4.5(457) - Mountain peak  - The tallest mountain in Australia"
"Eyre Peninsula"|""|"4.6(20) - Peninsula  - Peninsula known for its marine life"
"Caves Beach"|"https://concreteplayground.com/sydney/travel-leisure/leisure/ten-best-caves-to-visit-near-sydney/amp"|"4.9(52) - Tourist attraction · Caves Beach - Open until 12:00 am"
"Lord Howe Island"|""|"4.7(143) - Island  - Scenic island for beaches & water sports"
"Hyams Beach"|""|"New South Wales 2540"
"River Lett"|"A swimming hole"|"5.0(3) - River "
"Upper Gledhill Falls"|""|"4.2(108) - Scenic spot · Ku-Ring-Gai Chase - Open 24 hours"
"Kangarutha walking track"|"Kangarautha Track to Boulder Bay on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/kangarautha-track-to-boulder-bay"|"4.0(4) - Tourist attraction · Tathra - Open until 7:00 pm"
"Kanangra Walls Lookout Trailhead"|"Kanangra Walls to Crafts Wall Cave on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/kanangra-walls-to-crafts-wall-cave"|"4.6(15) - Free parking lot · Kanangra"
"Kangaroo Valley"|""|"New South Wales 2577"
"Kianinny Bay"|""|"4.8(6) - Bay "
"Kanangra Walls Lookout"|"Kanangra Walls Lookout and Kalang Falls Walk on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/kanangra-walls-lookout-and-kalang-falls-walk?p=31009332"|"4.8(110) - Scenic spot "
"Castle Cave walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/castle-cave-walk"|"Tourist attraction · Yarrangobilly"
"Kittys Beach"|""|"4.7(6) - Beach "
"Square Rock"|"Square Rock on AllTrails https://www.alltrails.com/trail/australia/australian-capital-territory/square-rock?p=38851061"|"4.9(76) - Historical landmark · Cotter River"
"Lyrebird Gully circuit"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/lyrebird-gully-circuit"|"5.0(1) - Tourist attraction · Mount Kuring-Gai - Open 24 hours"
"Boyds Beach"|""|"4.7(10) - Beach "
"Taronga Zoo Sydney"|""|"4.5(22,169) - Zoo · Mosman - Large zoo divided into different regions - Open until 5:00 pm"
"Kakadu National Park Headquarters"|""|""
"Meryla State Forest"|""|"4.3(18) - National forest  - Open 24 hours"
"Jenolan River walking track"|"Jenolan River Walking Track [CLOSED] on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/jenolan-river-walking-track"|"Tourist attraction · Jenolan - Temporarily closed"
"Illawarra Fly Treetop Walk"|""|"4.4(1,388) - Tourist attraction · Knights Hill - Treetop canopy walk & observation point - Open until 5:00 pm"
"Adelina Falls"|""|"4.6(22) - Scenic spot · Lawson - Open 24 hours"
"Dee Beach"|""|"4.8(14) - Beach "
"Merimbula Boardwalk"|""|""
"Drawing Room Rocks"|""|"4.8(179) - Vista point  - Open 24 hours"
"Mannings lookout"|"https://pioneerwalks.com.au/walk/manning-valley-lookout/"|"4.5(145) - Tourist attraction · Barrengarry - Open 24 hours"
"Depot Beach"|""|"New South Wales 2536"
"Mimosa Rocks walking track"|"https://www.alltrails.com/trail/australia/new-south-wales/mimosa-rocks-walk"|"5.0(1) - Tourist attraction · Wapengo"
"Yerranderie"|""|"New South Wales 2787"
"The Blue Pool"|""|"4.7(436) - Public swimming pool  - Open 24 hours"
"Barnetts lookout"|""|"4.4(137) - Vista point  - Open until 8:00 pm"
"Clovelly Beach"|""|"4.7(333) - Beach  - Compact hangout with a swimming pool"
"Biamanga Cultural area"|"Mumbulla falls are nearby I think"|"4.3(45) - Tourist attraction · Tanja"
"Adaminaby"|""|"New South Wales 2629"
"Flatrock Waterhole"|"Flat Rock Waterhole and Falls on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/flat-rock-waterhole-and-falls?p=-1"|"4.4(59) - Upper Kangaroo Valley"
"Eucumbene Dam"|""|"4.6(78) - Lake "
"Summercloud Bay"|"Summercloud Bay to Kitty's Beach on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/summercloud-bay-to-kittys-beach"|"4.7(3) - Bay "
"Bennetts Beach"|""|"4.8(57) - Beach  - Big stretch with wildlife & a chill vibe"
"Mallee Stop walking track"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/mallee-stop-walking-track"|"Tourist attraction · Mungo"
"Bittangabee Bay"|""|"4.0(7) - Bay "
"Foreshore walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/foreshore-walk/visitor-info#Getting-there-and-parking"|"Tourist attraction · Mungo"
"Palm Beach"|""|"New South Wales 2108"
"Chef's Choice"|""|"4.3(383) - $ · Chinese · Wollongong - Open until 9:00 pm"
"Wategos Beach"|""|"4.7(137) - Beach  - Surfing & swimming in a scenic area"
"Barunguba"|""|"4.6(25) - Island  - Continental island with a nature reserve"
"Yarra Ranges"|""|"Victoria"
"Kingfisher Pool campground"|""|"4.6(12) - Camping Ground · Heathcote"
"Linden"|"https://www.hellosydneykids.com.au/paradise-pool-blue-mountains/"|"New South Wales 2778"
"Kangaroo River walking track"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/kangaroo-river-walking-track/map"|"3.0(1) - Tourist attraction · Moollattoo"
"Yarrangobilly Caves Thermal Pool"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/kosciuszko-clarke-gorge-walking-track"|"4.5(186) - Public swimming pool · Yarrangobilly - Open 24 hours"
"Luna Park Sydney"|""|"4.1(10,587) - Amusement park · Milsons Point - Amusement park & entertainment venue"
"Tallow Beach"|""|"4.8(235) - Beach  - Scenic destination in a national park"
"Eagle Rock"|""|"4.9(106) - Scenic spot  - Open 24 hours"
"Mitchell Falls Camping Ground"|""|"4.3(22) - Camping Ground "
"Jacks lookout"|""|"4.7(11) - Historical landmark · Kosciuszko National Park"
"Tunnel View Lookout"|""|"4.5(97) - Tourist attraction · Glenbrook - Open until 7:00 pm"
"Red Top lookout and boardwalk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/red-top-lookout-and-boardwalk"|"4.5(25) - Tourist attraction · Mungo"
"Rainbow Falls"|""|"4.8(20) - Scenic spot · Macquarie Pass - Open until 7:00 pm"
"Mares Forest Creek"|"https://pioneerwalks.com.au/walk/mares-forest-creek/"|"5.0(3) - Seasonal river "
"Carnation Thai Restaurant"|""|"4.4(308) - $$ · Thai · Wollongong - Stylish option for stir-fries & noodles - Open until 2:30 pm"
"Symbio Wildlife Park"|""|"4.6(2,956) - Zoo · Helensburgh - Zoo with diverse animals & a splash park - Open until 5:00 pm"
"Dangar Falls"|"https://pioneerwalks.com.au/walk/dangar-falls/"|"4.7(779) - Scenic spot · Dorrigo - Scenic 30-m. waterfall with parking - Open 24 hours"
"Fish River"|"A swimming hole"|"4.7(33) - River "
"Green Cape Lighthouse"|"WOMBATS TO SEEE
https://www.alltrails.com/trail/australia/new-south-wales/bittangabee-bay-to-green-cape-lighthouse--2"|"4.7(303) - Tourist attraction · Green Cape - 19th-century concrete beacon - Open until 7:00 pm"
"Angel Gabriel Capararo Reserve"|"https://pioneerwalks.com.au/walk/promised-lands-never-never-river/"|"4.9(41) - Nature preserve · Gleniffer"
"Walls of China viewing platform"|"https://www.nationalparks.nsw.gov.au/things-to-do/lookouts/walls-of-china-viewing-platform"|"4.6(59) - Tourist attraction · Mungo - Open 24 hours"
"Coxs River Campground"|"Cox Creek Swing Bridge Walk on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/cox-creek-swing-bridge-walk"|"4.3(103) - Camping Ground "
"Tomaree National Park"|""|"4.7(678) - National park · Nelson Bay - Protected landscape on the Tasman Sea - Open 24 hours"
"Pebbly Beach to Snake Bay walking track"|"Snake bay is somewhere here? Idk"|"Tourist attraction · Pebbly Beach"
"Wentworth"|""|"New South Wales 2648"
"Castle Head"|"Castle Head on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/castle-head"|"5.0(12) - Peninsula "
"Lapstone Zig Zag Walking Track"|""|""
"Cave Creek Walking Track"|"https://pioneerwalks.com.au/walk/cave-creek/"|"4.3(14) - Hill Top"
"Kinn Thai Restaurant"|""|"4.4(529) - $$ · Thai · Wollongong - Buzzy place with rustic-chic decor - Open until 2:45 pm"
"Treachery Beach"|""|"4.9(11) - Beach  - Secluded destination for surfing"
"Audley"|""|"Royal National Park NSW"
"Bundanoon Dam Wall"|"https://pioneerwalks.com.au/walk/bundanoon-creek-dam/"|"4.7(3)"
"Clarke Gorge Walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/kosciuszko-clarke-gorge-walking-track"|""
"Tomaree Head Summit walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/tomaree-head-summit-walk"|"4.8(692) - Hiking area · Shoal Bay - Steep hike with sweeping bay vistas - Open 24 hours"
"Mine Bay Maori Rock Carvings"|""|"4.6(618) - Historical landmark · Taupō - Contemporary carvings in lakeside rocks - Open 24 hours"
"Sugarloaf Point Lighthouse"|""|"4.8(576) - Historical landmark · Seal Rocks - Colonial-era beacon on a rocky coast"
"Pebbly Beach"|""|"New South Wales 2536"
"Urunga Wetlands Boardwalk"|""|"4.7(165) - Nature preserve · Urunga"
"Victoria Creek Cascades"|"Might otherwise be known as the silver cascades?
There should be a swimming hole here

https://www.instagram.com/p/CYSxFB0PGGU/?utm_medium=copy_link"|"4.7(31) - Scenic spot · Blue Mountains National Park, Victoria Falls Track"
"Shelly Beach"|""|"4.6(16) - Beach  - Small sandy beach in national park"
"Guerilla Bay"|""|"New South Wales 2536"
"South West Arm Creek"|""|"4.6(7) - River "
"Curra Moors Walking Track"|""|""
"Iluka Beach"|""|"4.8(144) - National forest  - Open 24 hours"
"Legoland"|"Orroral Ridge: Sentinel Rocks Walk on AllTrails https://www.alltrails.com/trail/australia/australian-capital-territory/orroral-ridge-sentinel-rocks-walk"|"4.8(10) - Hiking area "
"Nepean lookout"|"https://www.nationalparks.nsw.gov.au/things-to-do/lookouts/nepean-lookout/visitor-info"|"4.6(66) - Scenic spot · Glenbrook area in Blue Mountains National Park Blue Labyrinth - Open until 7:00 pm"
"Jamberoo Action Park"|""|"4.5(2,621) - Theme park · Jamberoo - Waterslides, mini-golf & a chairlift - Open until 5:00 pm"
"Hippocrene Falls Walking Track"|"Hipocrene and Vera Falls Loop Trail on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/hipocrene-and-vera-falls-loop-trail?p=-1"|""
"Grand Canyon Walking Track"|""|"4.9(992) - Hiking area · Blackheath - Well-known loop walk with epic vistas - Open 24 hours"
"Wallagoot Gap"|""|"4.9(7) - Mountain pass "
"JW Marriott Gold Coast Resort & Spa"|""|"4.5(2,287) - 5-star hotel · Surfers Paradise - Chic retreat with a lagoon pool & dining"
"Mallee Cliffs National Park"|""|"3.2(5) - National park · Mallee - Open until 4:30 pm"
"Ebor Falls"|"https://pioneerwalks.com.au/walk/ebor-falls/"|"4.6(561) - Tourist attraction · Ebor - Dual falls with 3 lookout platforms - Open 24 hours"
"Mermaids Pool and Tahmoor Gorge Parking"|"https://pioneerwalks.com.au/walk/see-thru-pools/
https://pioneerwalks.com.au/walk/bargo-river-canyon/"|"4.3(12) - Parking lot  - Open 24 hours"
"Clover Hill trail"|""|"4.7(41) - Hiking area · Macquarie Pass - Open until 7:00 pm"
"Adelong Alive Museum Inc."|"https://visitsnowyvalleys.com.au/listing/adelong-falls-walk/"|"4.1(7) - Museum · Adelong"
"Murrays Beach"|""|"4.4(33) - Beach  - White-sand beach in a national park"
"Ruined Castle walking track"|"https://www.walkmyworld.com/posts/ruined-castle

The Ruined Castle and Mount Solitary via The Golden Stairs on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/the-ruined-castle-and-mount-solitary-via-the-golden-stairs?p=42196617"|"4.7(38) - Tourist attraction · Blue Mountains National Park - Open 24 hours"
"Da Orlando Pizzeria"|""|"4.6(727) - $$ · Italian · Wollongong - Closed · Opens at 5:30 pm"
"Junction Falls"|""|"4.7(65) - Scenic spot  - Open 24 hours"
"Corowa"|""|"New South Wales 2646"
"Treetops Adventure Nowra"|""|"4.7(284) - Tourist attraction · North Nowra - Open until 5:00 pm"
"Lake Mulwala"|""|"4.7(39) - River "
"Mermaid Inlet"|"https://pioneerwalks.com.au/walk/mermaids-inlet/"|"4.8(189) - Scenic spot  - Open 24 hours"
"Zenith Beach"|""|"4.7(160) - Beach  - Sandy getaway with mountain scenery"
"Bongil Beach"|""|"Tourist attraction · Bundagen"
"Tallebudgera Valley"|"Gorge Falls on AllTrails
https://www.alltrails.com/trail/australia/queensland/gorge-falls"|"Queensland 4228"
"Mount Stilwell walk"|""|"Tourist attraction · Geehi"
"Mimosa Rock"|"Mimosa Rocks Walk via Boardwalk on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/mimosa-rocks-walk"|"4.5(2) - National park "
"Ha Long Bay Vietnamese Restaurant"|""|"4.1(161) - $$ · Vietnamese · Wollongong - Vietnamese fare in an understated setup - Open until 2:30 pm"
"George Boyd picnic area"|"George Boyd Rainforest Walk on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/george-boyd-rainforest-walk"|"Tourist attraction · Twelve Mile Peg"
"Macquarie Pass National Park"|"https://pioneerwalks.com.au/walk/jump-rock/"|"4.7(437) - National park · Albion Park - Rainforest park with trails & waterfalls - Open until 7:00 pm"
"Place of Winds interpretive trail"|""|"4.8(4) - National park · Hornsby Heights"
"National Pass"|""|"4.8(70) - Tourist attraction · Wentworth Falls - Temporarily closed"
"Mount Gladstone Lookout"|""|"4.5(54) - Scenic spot  - Open 24 hours"
"Mollymook Beach"|""|"New South Wales 2539"
"Gosangs Tunnel"|""|"4.9(67) - Cave "
"IL Porcellino Trattoria & Pizzeria"|""|"4.2(124) - $$ · Pizza · Balgownie - Spacious locale for Italian dishes - Closed · Opens at 4:00 pm"
"Kiandra heritage track"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/kiandra-heritage-track"|"2.0(1) - Tourist attraction · Cabramurra"
"Mount Hotham"|""|"4.6(296) - Mountain peak  - Ski resort with a mountain village"
"Paddys River Falls"|"https://visitsnowyvalleys.com.au/listing/paddys-river-falls/"|"4.7(291) - Scenic spot · Burra - Open 24 hours"
"Wilsons Beach"|""|"5.0(9) - Beach "
"Singing Stones Beach"|""|"4.6(7) - National park "
"Flinders Ranges"|""|"South Australia 5434"
"Royal National Park Office"|"https://pioneerwalks.com.au/walk/lower-kanagroo-creek/"|"4.2(5) - State government office · Royal National Park - Open until 4:30 pm"
"Perisher Valley"|""|"New South Wales 2624"
"Tianjara Falls"|"Tianjara Falls Lookout on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/tianjara-falls-lookout"|"4.5(318) - Tourist attraction  - Open 24 hours"
"Adams lookout"|""|"4.8(39) - Scenic spot · Bungonia - Open 24 hours"
"Red Rock Beach"|""|"4.8(29) - Beach "
"Pool of Siloam"|""|"4.7(165) - Hiking area · Blue Mountains National Park - Open 24 hours"
"Elsey National Park"|""|"4.7(176) - National park · Mataranka - Hot springs, literary history & sports"
"Cascades walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/cascades-walking-track-and-viewing-platform"|"4.0(1) - Tourist attraction · Macquarie Pass"
"Maria Island"|""|"4.6(82) - Island  - Remote fishing island with a marine park"
"Anna Bay"|""|"New South Wales 2316"
"Snow Gums boardwalk"|""|"5.0(1) - Tourist attraction · Geehi"
"Wattamolla Parking"|"https://pioneerwalks.com.au/walk/curracurrang-falls/"|"4.4(38) - Free parking lot "
"Jenolan Caves"|"And the pine forest nearby"|"4.6(3,188) - Nature preserve · Jenolan - Limestone caves & subterranean rivers - Closed · Closed ⋅ Opens 9:30AM Sat"
"Tacking Point Lighthouse"|""|"4.7(986) - Lighthouse · Port Macquarie - Cement lighthouse built in 1879 - Open 24 hours"
"Greenfield Beach"|""|"4.9(143) - Beach  - Snorkeling, swimming & picnic areas"
"Horseshoe Falls"|""|"4.6(22) - Tourist attraction  - Open 24 hours"
"Currarong"|""|"New South Wales 2540"
"Molonglo Picnic Area (no playground)"|"https://www.alltrails.com/trail/australia/australian-capital-territory/molonglo-gorge?ref=result-card"|"4.2(45) - Picnic ground · Kowen - Open 24 hours"
"Black Perry lookout"|""|"4.4(73) - Scenic spot · Talbingo - Open until 5:00 pm"
"Thala Beach Nature Reserve"|""|"4.7(393) - 5-star hotel · Oak Beach - Luxe rainforest/beach hotel with a pool"
"Cronulla Sand Dunes"|""|"4.5(132) - Tourist attraction · Kurnell - Open 24 hours"
"George Boyd lookout"|""|"4.6(38) - Scenic spot · Twelve Mile Peg - Open 24 hours"
"Wombeyan Caves"|""|"Wombeyan Caves, Wombeyan Caves Rd, Wombeyan Caves NSW 2580"
"Wombeyan Waterfall walking track"|""|"3.0(1) - Tourist attraction · Wombeyan Caves"
"Victory Track"|"Clarinda Falls on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/clarinda-falls"|"4.3(16) - Hiking area · Faulconbridge"
"Hutt Lagoon"|""|"4.5(189) - Lagoon  - Historic salt lake & colorful photo op"
"Hanging Rock Lookout"|""|"4.6(358) - Scenic spot · Nowra"
"Wollemi National Park"|""|"4.5(423) - National park · Wollemi - Hiking & camping in rugged terrain - Open 24 hours"
"Dropped pin"|"The Narrows on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/the-narrows"|"(-33.772098, 150.647157)"
"Elizabeth Lookout"|""|"4.4(79) - Scenic spot · Glenbrook - Open 24 hours"
"Borenore Caves"|""|"4.5(32) - Cave  - Limestone caves on a nature reserve"
"Mount Banks Summit walk"|""|"4.6(69) - Tourist attraction · Blue Mountains National Park, Mount Banks One Trail"
"The Cascades"|"Heath Trail to The Cascades on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/heath-trail-to-the-cascades"|"4.8(49) - Scenic spot  - Open 24 hours"
"Kings Cave"|"Kings Cave Walk on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/kings-cave-walk"|"4.6(10) - Cave "
"Dropped pin"|"Dardabong Falls on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/dardabong-falls"|"(-33.689042, 151.216522)"
"Dantes Glen"|""|"4.8(8) - Tourist attraction · Lawson"
"Minnehaha Falls"|""|"4.7(135) - Scenic spot · Katoomba - Open 24 hours"
"Water Nymphs Dell"|"Water Nymphs Dell on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/water-nymph-dell-wentworth-falls-nsw--2"|"4.0(13) - Tourist attraction · Wentworth Falls"
"Lennox Bridge"|""|"4.6(166) - Bridge · Glenbrook - Open 24 hours"
"Blackwall Mount"|"Blackwall Mountain Lookout on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/blackwall-mountain-lookout"|"4.0(8) - Mountain peak "
"Blackheath Lookout"|""|"4.8(181) - Vista point · Megalong Valley"
"Dropped pin"|"The Woolwash on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/the-woolwash"|"(-34.096519, 150.822305)"
"Bombala platypus reserve"|""|"4.7(12) - Tourist attraction "
"Fairy Bower Falls"|""|"4.5(87) - Tourist attraction · Bundanoon - Open until 5:00 pm"
"Websters Lookout"|""|"4.6(54) - Scenic spot · Oatley - Open until 7:00 pm"
