"Name"|"Note"|"Misc"
"Tabourie Beach"|"Walk over to Crampton island beach at low Tide"|"4.7(37)\nTourist attraction · Lake Tabourie"
"Wairo Beach"|""|"4.8(12)\nBeach \nBeach & dunes with nearby lodging"
"Dolphin Point Beach"|""|"4.7(129)\nNational park · Dolphin Point"
"Burrill Beach"|""|"4.7(10)\nBeach \nSwimming, fishing & an area for picnics"
"Racecourse Beach"|""|"4.5(13)\nBeach \nLong, low-key beach with surfing"
"Rennies Beach"|""|"4.7(21)\nBeach \nSurfing & fishing in a popular setting"
"35°21'56.2"S 150°29'10.9"E"|"Ulladulla Bommie"|"(-35.365621, 150.486369)"
"35°21'38.8"S 150°29'05.1"E"|"Lobster Jacks"|"(-35.360790, 150.484742)"
"35°21'30.8"S 150°28'41.6"E"|"Ulladulla Harbour Outer"|"(-35.358543, 150.478216)"
"35°21'25.4"S 150°28'30.4"E"|"Ulladulla Harbour Inner"|"(-35.357046, 150.475120)"
"35°21'12.7"S 150°28'40.0"E"|"Ulladulla Harbour North"|"(-35.353538, 150.477787)"
"Collers Beach"|""|"4.5(24)\nBeach \nLaid-back, dog-friendly sand beach"
"Narrawallee Beach"|""|"4.6(53)\nBeach "
"Buckleys Beach"|""|"5.0(5)\nBeach \nNatural beach & dolphin-watching spot"
"35°16'40.6"S 150°29'27.1"E"|"Conjola Lake Ocean Beach"|"(-35.277934, 150.490855)"
"Cunjurong Beach"|""|"4.8(16)\nBeach \nSecluded sandy beach with tide pools"
"Manyana Beach"|""|"4.7(27)\nBeach \nScenic, white-sand beach for surfing"
"Red Head"|""|"4.3(3)\nTourist attraction "
"One Tree Beach"|""|"Scenic spot · Bendalong\nOpen 24 hours"
"Boat Harbour Beach"|""|"4.6(11)\nBeach "
"Washerwomans Beach"|""|"4.5(52)\nBeach "
"Dee Beach"|""|"4.0(1)\nNature preserve · Bendalong"
"Flat Rock Beach"|""|"4.8(12)\nBeach "
"35°12'51.2"S 150°32'30.3"E"|"Cudmirrah Nature Reserve Beach"|"(-35.214216, 150.541757)"
"Monument Beach"|""|"4.8(6)\nBeach \nRemote swimming beach & picnic area"
"Berrara Cove Reserve"|""|"4.6(39)\nPark "
"Cudmirrah Beach"|""|"4.8(26)\nBeach "
"sussex inlet lake haven drive boat ramp"|""|"5.0(5)\nBoat ramp \nOpen 24 hours"
"Kittys Beach"|""|"4.7(6)\nBeach "
"Bherwerre Beach"|""|"4.9(15)\nBeach \nSandy beach with surfing & swimming"
"Whiting Beach"|""|"3.8(5)\nBeach "
"Cave Beach"|""|"4.8(89)\nBeach "
"Steamers Beach"|""|"4.8(19)\nBeach \nGolden sands & cliffs in a national park"
"Hole in the wall"|""|"4.4(141)\nTourist attraction \nOpen 24 hours"
"Scottish Rocks"|""|"4.5(4)\nRocky "
"Bristol Point Camping Ground"|""|"4.4(122)\nCamping Ground · Jervis Bay Territory"
"Greenpatch"|""|"Jervis Bay JBT"
"Iluka Beach"|""|"4.8(150)\nNational forest \nOpen 24 hours"
"Captain's Beach"|""|"4.7(45)\nPark \nOpen 24 hours"
"Murrays Beach"|""|"4.4(35)\nBeach \nWhite-sand beach in a national park"
"Hyams Beach"|""|"New South Wales 2540"
"Hyams Point"|""|"5.0(6)\nPeninsula "
"Greenfield Beach"|""|"4.9(144)\nBeach \nSnorkeling, swimming & picnic areas"
"Blenheim Beach"|""|"4.8(33)\nBeach \nSmall white-sand beach with snorkeling"
"Nelsons Beach"|""|"4.7(50)\nBeach "
"Barfleur Beach"|""|"4.3(10)\nBeach \nChill beach for water sports & picnics"
"Orion Beach"|""|"4.7(19)\nBeach \nSwimming option with a walking trail"
"Collingwood Beach"|""|"4.6(52)\nBeach "
"Silica Cove"|""|"4.8(31)\nPark · Campbell"
"Target Beach"|""|"5.0(7)\nBeach "
"Moona Moona Beach Park"|""|"4.7(195)\nPark · Huskisson\nOpen 24 hours"
"Huskisson Beach"|""|"4.7(86)\nBeach \nOcean retreat for basking & swimming"
"Shark Net Beach"|""|"4.8(18)\nBeach \nScenic locale near stores & eateries"
"Honeymoon Bay"|""|"4.6(573)\nCamping Ground · Currarong"
"Bindijine Beach"|""|"4.8(11)\nBeach "
"Long Beach"|""|"New South Wales 2536"
"Callala Beach"|""|"New South Wales 2540"
"Callala Bay"|""|"New South Wales 2540"
"Abrahams Bosom Beach"|""|"4.6(15)\nBeach "
"Currarong Beach"|""|"4.7(26)\nBeach "
"Hare Bay"|""|"Bay "
"Lobster Bay"|""|"4.6(30)\nWildlife Sanctuary \nOpen 24 hours"
"Wilsons Beach"|""|"5.0(9)\nBeach "
"Warrain Beach"|""|"4.9(10)\nBeach "
"Tilbury Cove"|""|"4.5(41)\nIndoor lodging \n Free parking\n Beach access"
"Culburra Beach"|""|"New South Wales 2540"
"Comerong Island"|""|"New South Wales 2540"
"Seven Mile Beach"|""|"4.7(214)\nBeach \nLong beach for swimming, picnics & walks"
